	VOL	SA	L	W	SAVOL	LW
FRY	444.647	300.061	142.6	85.3	0.674829696	1.671746776
TAPER	375.686	288.542	162.6	69.72	0.768040332	2.332185886
TAPER	616.208	387.495	171.2	87	0.62883799	1.967816092
TAPER	479.094	334.519	183.2	72.72	0.698232497	2.519251925
TAPER	298.656	246.505	147.3	65.91	0.82538104	2.234865726
TAPER	548.706	366.616	190	79.48	0.668146512	2.3905385
TAPER	292.008	253.278	177.4	64.1	0.867366647	2.767550702
TAPER	433.995	304.137	154.3	75.88	0.700784571	2.033473906
TAPER	355.528	272.259	163.8	72.33	0.765787786	2.264620489
TAPER	594.325	393.349	195.9	85.27	0.661841585	2.297408233
TAPER	448.932	321.646	169.3	77.35	0.716469309	2.188752424
TAPER	370.575	275.344	145.9	80.84	0.743018282	1.804799604
TAPER	325.209	255.662	146.7	68.85	0.786146755	2.130718954
TAPER	394.032	303.342	185.3	65.49	0.769841028	2.829439609
TAPER	311.388	244.305	138.6	75.08	0.784567806	1.8460309
TAPER	385.399	283.254	156.6	75.21	0.734962986	2.082169924
TAPER	481.232	325.943	170	80.65	0.677309489	2.107873528
TAPER	394.301	279.919	136.8	76.68	0.709911971	1.784037559
TAPER	479.189	329.483	180	71.44	0.687584648	2.519596865
TAPER	549.643	377.606	201.9	80.6	0.687002291	2.504962779
TAPER	516.678	363.762	208.4	76.69	0.70404004	2.717433824
TAPER	479.379	365.298	223.8	70.98	0.762023368	3.153000845
TAPER	385.478	308.342	185.2	64.43	0.799895195	2.874437374
TAPER	332.569	272.147	166.4	65.29	0.818317402	2.548629193
TAPER	488.214	362.568	216.8	72.93	0.742641547	2.972713561
TAPER	473.673	338.936	207.3	78.5	0.71554849	2.640764331
TAPER	486.295	375.248	219.6	71.63	0.77164684	3.065754572
TAPER	587.766	388.501	204	78.9	0.660979029	2.585551331
TAPER	299.085	251.636	166.1	65.91	0.841352793	2.520103171
